FECHA;TASA_DE_DESEMPLEO;CANTIDAD_DE_SISMOS;MAX_MAGNITUD;MIN_MAGNITUD;PROM_MAGNITUD
May01;9.240753676;31;5.3;4.1;4.751612903
Jun01;9.489724101;269;8.4;4;4.926022305
Jul01;9.196062641;174;7.6;4;4.829885057
Ago01;9.491484476;51;6;4;4.854901961
Sep01;9.54805084;50;5.7;4.5;4.706
Oct01;9.716332453;42;6;4.2;4.728571429
Nov01;9.451203428;42;5.8;4.5;4.804761905
Dic01;8.861439417;40;6.2;4.5;4.905
Ene02;9.324256399;47;5.2;4.3;4.691489362
Feb02;9.970213939;34;5.8;4.4;4.764705882
Mar02;10.62234778;31;5.5;4;4.706451613
Abr02;10.67808258;30;6.1;4.5;4.813333333
May02;10.19339817;28;5.9;4.5;4.735714286
Jun02;9.878621818;22;5.6;4.3;4.836363636
Jul02;8.947828425;23;5.5;4.3;4.743478261
Ago02;8.716378449;23;5.7;4.5;4.947826087
Sep02;8.518363684;18;5.7;4.5;4.827777778
Oct02;8.491661332;27;6.9;4.5;4.992592593
Nov02;8.464217478;32;5.7;4;4.821875
Dic02;8.653707454;26;5.6;4.1;4.707692308
Ene03;9.262437019;25;5.8;4.3;4.812
Feb03;9.478570563;22;5.8;4.5;4.8
Mar03;10.02640231;31;5.8;4.5;4.806451613
Abr03;9.866779253;23;6.2;4.1;4.743478261
May03;9.7882463;33;6;4.1;4.903030303
Jun03;9.272886428;41;7.1;4.5;4.795121951
Jul03;8.872993925;27;5.8;4.3;4.82962963
Ago03;9.263716902;34;6;4.4;4.676470588
Sep03;8.965872595;42;5.4;4.5;4.69047619
Oct03;9.246260569;44;5.8;4.4;4.720454545
Nov03;8.889787988;29;5.8;4.5;4.727586207
Dic03;9.398781162;41;5.2;4.5;4.692682927
Ene04;10.10035377;39;5.5;4.5;4.725641026
Feb04;10.4876646;19;5.3;4.5;4.636842105
Mar04;10.63772797;31;5.5;4.5;4.725806452
Abr04;10.49505817;33;5.3;4.3;4.648484848
May04;9.999498461;28;5.8;4.2;4.835714286
Jun04;9.457960653;18;5.3;4;4.538888889
Jul04;8.592791015;37;5.7;4.2;4.718918919
Ago04;8.71341908;29;5.6;4.2;4.717241379
Sep04;8.890162594;21;6;4.5;4.852380952
Oct04;9.260722439;30;5.7;4.5;4.74
Nov04;8.861363505;27;5.7;4.5;4.714814815
Dic04;8.739873994;30;6;4.5;4.8
Ene05;10.00643965;35;5.8;4.1;4.748571429
Feb05;10.7701171;32;5.7;4;4.690625
Mar05;11.3147109;43;5.3;4.2;4.68372093
Abr05;10.2136733;43;6.2;4.4;4.8
May05;10.10738793;39;6.4;4.2;4.869230769
Jun05;9.663028289;29;5.6;4;4.789655172
Jul05;9.290345128;38;6.1;4.5;4.810526316
Ago05;9.207268874;53;5.7;4;4.743396226
Sep05;9.287627341;41;7.5;4;4.668292683
Oct05;9.07588964;71;5.9;4;4.745070423
Nov05;8.607813198;115;5.8;4;4.677391304
Dic05;8.033392709;147;5.4;4.1;4.663945578
Ene06;8.871612157;24;5.5;4.2;4.766666667
Feb06;8.969436984;23;5.7;4.1;4.743478261
Mar06;9.014045801;19;5.5;4;4.752631579
Abr06;8.705338192;17;5.3;4;4.652941176
May06;8.844699457;24;5.8;4.2;4.829166667
Jun06;8.940997101;30;5.6;4.1;4.75
Jul06;8.515727751;21;5.3;4.5;4.785714286
Ago06;8.436489005;27;5.8;4.2;4.774074074
Sep06;8.485630216;27;6.2;4;4.762962963
Oct06;8.120027548;30;6.7;4;4.91
Nov06;7.942840296;25;5.9;4;4.856
Dic06;7.442748829;19;5.3;4.1;4.657894737
Ene07;8.964815882;25;5.4;4.2;4.856
Feb07;9.487040445;36;6.4;4.1;4.855555556
Mar07;9.753324651;25;5.7;4;4.776
